order_time, settle_time, hold_time, algorithm, side, profit
2018-08-07 08:00:00,2018-08-08 16:16:40,116200.0,# in  Algorithm,sell,0.5030000000000143
2018-08-08 17:00:00,2018-08-08 19:31:50,9110.0,# in  Algorithm,sell,0.521000000000015
2018-08-08 20:00:00,2018-08-09 18:44:00,81840.0,# in  Algorithm,sell,-0.507000000000005
2018-08-09 20:00:00,2018-08-10 00:10:40,15040.0,# in  Algorithm,sell,0.5080000000000098
2018-08-10 05:00:00,2018-08-10 15:17:00,37020.0,# in  Algorithm,sell,0.5149999999999864
2018-08-10 16:00:00,2018-08-10 16:39:20,2360.0,# in  Algorithm,sell,0.5860000000000127
2018-08-10 17:00:00,2018-08-10 18:14:30,4470.0,# in  Algorithm,sell,-0.5019999999999811
2018-08-10 19:00:00,2018-08-10 22:27:00,12420.0,# in  Algorithm,sell,0.5420000000000016
2018-08-10 23:00:00,2018-08-11 04:19:10,19150.0,# in  Algorithm,sell,-0.507000000000005
2018-08-14 08:00:00,2018-08-14 15:18:30,26310.0,# in  Algorithm,sell,-0.5089999999999861
2018-08-14 16:00:00,2018-08-14 20:32:30,16350.0,# in  Algorithm,sell,0.5020000000000095
2018-08-14 22:00:00,2018-08-15 01:13:20,11600.0,# in  Algorithm,sell,0.5430000000000064
2018-08-15 02:00:00,2018-08-15 16:17:30,51450.0,# in  Algorithm,sell,-0.5060000000000002
2018-08-15 18:00:00,2018-08-15 20:29:40,8980.0,# in  Algorithm,sell,0.507000000000005
2018-08-15 21:00:00,2018-08-15 22:22:20,4940.0,# in  Algorithm,sell,0.5090000000000146
2018-08-15 23:00:00,2018-08-16 10:35:30,41730.0,# in  Algorithm,sell,-0.5339999999999918
2018-08-16 13:00:00,2018-08-16 21:59:30,32370.0,# in  Algorithm,sell,0.5019999999999811
2018-08-17 04:00:00,2018-08-17 19:01:00,54060.0,# in  Algorithm,sell,0.5150000000000148
2018-08-17 22:00:00,2018-08-18 03:54:40,21280.0,# in  Algorithm,buy,0.5139999999999816
